#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151647228
#Date Time: 2024-04-18 17:24:44.645
#Sample rate: 1.6e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V)
0.001727724609375,-0.9274453857691058
0.001728349609375,-0.9171868197961937
0.001728974609375,-0.9120575368097376
0.001729599609375,-0.9171868197961937
0.001730224609375,-0.9120575368097376
0.001730849609375,-0.9069282538232815
0.001731474609375,-0.9120575368097376
0.001732099609375,-0.9120575368097376
0.001732724609375,-0.9017989708368254
0.001733349609375,-0.9069282538232815
0.001733974609375,-0.9069282538232815
0.001734599609375,-0.9017989708368254
0.001735224609375,-0.8966696878503693
0.001735849609375,-0.9017989708368254
0.001736474609375,-0.8966696878503693
0.001737099609375,-0.8966696878503693
0.001737724609375,-0.8966696878503693
0.001738349609375,-0.8915404048639132
0.001738974609375,-0.8864111218774571
0.001739599609375,-0.8915404048639132
0.001740224609375,-0.8864111218774571
0.001740849609375,-0.8864111218774571
0.001741474609375,-0.8864111218774571
0.001742099609375,-0.881281838891001
0.001742724609375,-0.881281838891001
0.001743349609375,-0.881281838891001
0.001743974609375,-0.881281838891001
0.001744599609375,-0.8761525559045449
0.001745224609375,-0.8761525559045449
0.001745849609375,-0.8761525559045449
0.001746474609375,-0.8710232729180888
0.001747099609375,-0.8761525559045449
0.001747724609375,-0.8658939899316327
0.001748349609375,-0.8658939899316327
0.001748974609375,-0.8658939899316327
0.001749599609375,-0.8607647069451766
0.001750224609375,-0.8607647069451766
0.001750849609375,-0.8607647069451766
0.001751474609375,-0.8505061409722644
0.001752099609375,-0.8556354239587205
0.001752724609375,-0.8556354239587205
0.001753349609375,-0.8453768579858083
0.001753974609375,-0.8505061409722644
0.001754599609375,-0.8505061409722644
0.001755224609375,-0.8453768579858083
0.001755849609375,-0.8453768579858083
0.001756474609375,-0.8453768579858083
0.001757099609375,-0.8402475749993522
0.001757724609375,-0.8351182920128961
0.001758349609375,-0.8402475749993522
0.001758974609375,-0.82998900902644
0.001759599609375,-0.82998900902644
0.001760224609375,-0.8351182920128961
0.001760849609375,-0.82998900902644
0.001761474609375,-0.8197304430535278
0.001762099609375,-0.8351182920128961
0.001762724609375,-0.8248597260399839
0.001763349609375,-0.8197304430535278
0.001763974609375,-0.8248597260399839
0.001764599609375,-0.8197304430535278
0.001765224609375,-0.8094718770806155
0.001765849609375,-0.8146011600670716
0.001766474609375,-0.8094718770806155
0.001767099609375,-0.8043425940941594
0.001767724609375,-0.8094718770806155
0.001768349609375,-0.8043425940941594
0.001768974609375,-0.7992133111077033
0.001769599609375,-0.7992133111077033
0.001770224609375,-0.7992133111077033
0.001770849609375,-0.7889547451347911
0.001771474609375,-0.7889547451347911
0.001772099609375,-0.7889547451347911
0.001772724609375,-0.783825462148335
0.001773349609375,-0.783825462148335
0.001773974609375,-0.783825462148335
0.001774599609375,-0.7735668961754228
0.001775224609375,-0.7735668961754228
0.001775849609375,-0.7735668961754228
0.001776474609375,-0.7684376131889668
0.001777099609375,-0.7684376131889668
0.001777724609375,-0.7684376131889668
0.001778349609375,-0.7633083302025107
0.001778974609375,-0.7633083302025107
0.001779599609375,-0.7633083302025107
0.001780224609375,-0.7581790472160546
0.001780849609375,-0.7581790472160546
0.001781474609375,-0.7530497642295985
0.001782099609375,-0.7479204812431424
0.001782724609375,-0.7479204812431424
0.001783349609375,-0.7479204812431424
0.001783974609375,-0.7376619152702302
0.001784599609375,-0.7427911982566863
0.001785224609375,-0.7376619152702302
0.001785849609375,-0.727403349297318
0.001786474609375,-0.7325326322837741
0.001787099609375,-0.7325326322837741
0.001787724609375,-0.7222740663108619
0.001788349609375,-0.7222740663108619
0.001788974609375,-0.7222740663108619
0.001789599609375,-0.7171447833244058
0.001790224609375,-0.7171447833244058
0.001790849609375,-0.7171447833244058
0.001791474609375,-0.7068862173514935
0.001792099609375,-0.7068862173514935
0.001792724609375,-0.7120155003379497
0.001793349609375,-0.7017569343650374
0.001793974609375,-0.6914983683921252
0.001794599609375,-0.7017569343650374
0.001795224609375,-0.6914983683921252
0.001795849609375,-0.6863690854056691
0.001796474609375,-0.6914983683921252
0.001797099609375,-0.681239802419213
0.001797724609375,-0.6761105194327569
0.001798349609375,-0.6863690854056691
0.001798974609375,-0.6761105194327569
0.001799599609375,-0.6709812364463008
0.001800224609375,-0.6761105194327569
0.001800849609375,-0.6709812364463008
0.001801474609375,-0.6607226704733886
0.001802099609375,-0.6607226704733886
0.001802724609375,-0.6607226704733886
0.001803349609375,-0.6504641045004764
0.001803974609375,-0.6555933874869325
0.001804599609375,-0.6504641045004764
0.001805224609375,-0.6453348215140203
0.001805849609375,-0.6453348215140203
0.001806474609375,-0.6402055385275642
0.001807099609375,-0.6350762555411081
0.001807724609375,-0.6350762555411081
0.001808349609375,-0.6350762555411081
0.001808974609375,-0.6248176895681959
0.001809599609375,-0.629946972554652
0.001810224609375,-0.6248176895681959
0.001810849609375,-0.6196884065817398
0.001811474609375,-0.6196884065817398
0.001812099609375,-0.6145591235952838
0.001812724609375,-0.6094298406088277
0.001813349609375,-0.6094298406088277
0.001813974609375,-0.5991712746359154
0.001814599609375,-0.5991712746359154
0.001815224609375,-0.5991712746359154
0.001815849609375,-0.5940419916494593
0.001816474609375,-0.5889127086630032
0.001817099609375,-0.5889127086630032
0.001817724609375,-0.5889127086630032
0.001818349609375,-0.578654142690091
0.001818974609375,-0.578654142690091
0.001819599609375,-0.578654142690091
0.001820224609375,-0.5683955767171788
0.001820849609375,-0.5735248597036349
0.001821474609375,-0.5683955767171788
0.001822099609375,-0.5581370107442666
0.001822724609375,-0.5632662937307227
0.001823349609375,-0.5581370107442666
0.001823974609375,-0.5478784447713544
0.001824599609375,-0.5530077277578105
0.001825224609375,-0.5530077277578105
0.001825849609375,-0.5427491617848983
0.001826474609375,-0.5376198787984422
0.001827099609375,-0.5427491617848983
0.001827724609375,-0.5324905958119861
0.001828349609375,-0.52736131282553
0.001828974609375,-0.5376198787984422
0.001829599609375,-0.5222320298390739
0.001830224609375,-0.5171027468526178
0.001830849609375,-0.5222320298390739
0.001831474609375,-0.5119734638661617
0.001832099609375,-0.5068441808797056
0.001832724609375,-0.5119734638661617
0.001833349609375,-0.5068441808797056
0.001833974609375,-0.4965856149067934
0.001834599609375,-0.5017148978932495
0.001835224609375,-0.4965856149067934
0.001835849609375,-0.4863270489338812
0.001836474609375,-0.4914563319203373
0.001837099609375,-0.4863270489338812
0.001837724609375,-0.4811977659474251
0.001838349609375,-0.476068482960969
0.001838974609375,-0.476068482960969
0.001839599609375,-0.4658099169880568
0.001840224609375,-0.4709391999745129
0.001840849609375,-0.4658099169880568
0.001841474609375,-0.4606806340016006
0.001842099609375,-0.4606806340016006
0.001842724609375,-0.4555513510151445
