#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151A2B6A6
#Date Time: 2024-05-23 17:46:07.209
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 500 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V
#Channel 2: Range: 500 mV/div Offset: 0 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 50 Hz
#Amplitude: 500 mV
#Offset: 500 mV
#Symmetry: 50 %
#Phase: 0 ¡Æ

Time (s),Channel 1 (V),Channel 2 (V)
-0.0228517,-0.0110185,0.00629525
-0.0228454,-0.0110185,0.00629525
-0.0228392,-0.00618497,0.00629525
-0.0228329,-0.00618497,0.00629525
-0.0228267,-0.0110185,0.00629525
-0.0228204,-0.0110185,0.00629525
-0.0228142,-0.00618497,0.00629525
-0.0228079,-0.0110185,0.00629525
-0.0228017,-0.00618497,0.00629525
-0.0227954,-0.00618497,0.00629525
-0.0227892,-0.0110185,0.00629525
-0.0227829,-0.00618497,0.00629525
-0.0227767,-0.00618497,0.00629525
-0.0227704,-0.0110185,0.00629525
-0.0227642,-0.00618497,0.00629525
-0.0227579,-0.00618497,0.00629525
-0.0227517,-0.00618497,0.00629525
-0.0227454,-0.00618497,0.00629525
-0.0227392,-0.0110185,0.00629525
-0.0227329,-0.0110185,0.00629525
-0.0227267,-0.0110185,0.00629525
-0.0227204,-0.0110185,0.00629525
-0.0227142,-0.0110185,0.00629525
-0.0227079,-0.00618497,0.00629525
-0.0227017,-0.0110185,0.00629525
-0.0226954,-0.0110185,0.00629525
-0.0226892,-0.0110185,0.00629525
-0.0226829,-0.0110185,0.00629525
-0.0226767,-0.0110185,0.00629525
-0.0226704,-0.0110185,0.00629525
-0.0226642,-0.0110185,0.00629525
-0.0226579,-0.0110185,0.00629525
-0.0226517,-0.0110185,0.00629525
-0.0226454,-0.00618497,0.00629525
-0.0226392,-0.00618497,0.00629525
-0.0226329,-0.0110185,0.00629525
-0.0226267,-0.0110185,0.00149312
-0.0226204,-0.0110185,0.00629525
-0.0226142,-0.0110185,0.00149312
-0.0226079,-0.0110185,0.00149312
-0.0226017,-0.0110185,0.00629525
-0.0225954,-0.0110185,0.00149312
-0.0225892,-0.00618497,0.00629525
-0.0225829,-0.0110185,0.00629525
-0.0225767,-0.0110185,0.00149312
-0.0225704,-0.00618497,0.00629525
-0.0225642,-0.00618497,0.00629525
-0.0225579,-0.0110185,0.00629525
-0.0225517,-0.0110185,0.00629525
-0.0225454,-0.0110185,0.00629525
-0.0225392,-0.0110185,0.00629525
-0.0225329,-0.0110185,0.00629525
-0.0225267,-0.0110185,0.00149312
-0.0225204,-0.0110185,0.00149312
-0.0225142,-0.0110185,0.00629525
-0.0225079,-0.0110185,0.00629525
-0.0225017,-0.00618497,0.00629525
-0.0224954,-0.00618497,0.00629525
-0.0224892,-0.0110185,0.00629525
-0.0224829,-0.00618497,0.00629525
-0.0224767,-0.00618497,0.00629525
-0.0224704,-0.0110185,0.00629525
-0.0224642,-0.0110185,0.00149312
-0.0224579,-0.00618497,0.00629525
-0.0224517,-0.00618497,0.00629525
-0.0224454,-0.00618497,0.00629525
-0.0224392,-0.0110185,0.00149312
-0.0224329,-0.0110185,0.00149312
-0.0224267,-0.00618497,0.00629525
-0.0224204,-0.0110185,0.00629525
-0.0224142,-0.0110185,0.00149312
-0.0224079,-0.00618497,0.00629525
-0.0224017,-0.0110185,0.00149312
-0.0223954,-0.0110185,0.00149312
-0.0223892,-0.00618497,0.00629525
-0.0223829,-0.00618497,0.00629525
-0.0223767,-0.00618497,0.00629525
-0.0223704,-0.0110185,0.00629525
-0.0223642,-0.0110185,0.00629525
-0.0223579,-0.0110185,0.00149312
-0.0223517,-0.0110185,0.00629525
-0.0223454,-0.0110185,0.00149312
-0.0223392,-0.0110185,0.00149312
-0.0223329,-0.0110185,0.00629525
-0.0223267,-0.0110185,0.00629525
-0.0223204,-0.00618497,0.00629525
-0.0223142,-0.00618497,0.00629525
-0.0223079,-0.00618497,0.00629525
-0.0223017,-0.00618497,0.00629525
-0.0222954,-0.00618497,0.00629525
-0.0222892,-0.0110185,0.00149312
-0.0222829,-0.00618497,0.00629525
-0.0222767,-0.00618497,0.00629525
-0.0222704,-0.0110185,0.00149312
-0.0222642,-0.0110185,0.00149312
-0.0222579,-0.0110185,0.00149312
-0.0222517,-0.00618497,0.00629525
-0.0222454,-0.00618497,0.00629525
-0.0222392,-0.0110185,0.00149312
-0.0222329,-0.0110185,0.00149312
-0.0222267,-0.0110185,0.00149312
-0.0222204,-0.0110185,0.00149312
-0.0222142,-0.00618497,0.00629525
-0.0222079,-0.00618497,0.00629525
-0.0222017,-0.0110185,0.00629525
-0.0221954,-0.00618497,0.00149312
-0.0221892,-0.0110185,0.00149312
-0.0221829,-0.0110185,0.00149312
-0.0221767,-0.00618497,0.00149312
-0.0221704,-0.00618497,0.00629525
-0.0221642,-0.0110185,0.00149312
-0.0221579,-0.00618497,0.00629525
-0.0221517,-0.00618497,0.00629525
-0.0221454,-0.0110185,0.00149312
-0.0221392,-0.0110185,0.00629525
-0.0221329,-0.00618497,0.00629525
-0.0221267,-0.0110185,0.00149312
-0.0221204,-0.00618497,0.00149312
-0.0221142,-0.0110185,0.00149312
-0.0221079,-0.00618497,0.00629525
-0.0221017,-0.0110185,0.00149312
-0.0220954,-0.0110185,0.00149312
-0.0220892,-0.0110185,0.00149312
-0.0220829,-0.00618497,0.00149312
-0.0220767,-0.0110185,0.00149312
-0.0220704,-0.0110185,0.00149312
-0.0220642,-0.0110185,0.00149312
